         10620 function calls (9872 primitive calls) in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.026    0.002 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\queryset.py:64(_iter_results)
        1    0.000    0.000    0.026    0.026 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\queryset.py:82(_populate_cache)
    26/11    0.000    0.000    0.026    0.002 {built-in method next}
       11    0.000    0.000    0.025    0.002 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:1401(__next__)
       11    0.000    0.000    0.014    0.001 C:\Seafile\Py\si\lib\site-packages\pymongo\cursor.py:1092(next)
        2    0.000    0.000    0.013    0.007 C:\Seafile\Py\si\lib\site-packages\pymongo\cursor.py:991(_refresh)
        1    0.000    0.000    0.013    0.013 C:\Seafile\Py\si\lib\site-packages\pymongo\cursor.py:826(__send_message)
        1    0.000    0.000    0.013    0.013 C:\Seafile\Py\si\lib\site-packages\pymongo\mongo_client.py:753(_send_message_with_response)
        1    0.000    0.000    0.013    0.013 C:\Seafile\Py\si\lib\site-packages\pymongo\mongo_client.py:796(_reset_on_error)
        1    0.000    0.000    0.013    0.013 C:\Seafile\Py\si\lib\site-packages\pymongo\server.py:70(send_message_with_response)
        1    0.000    0.000    0.013    0.013 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:237(receive_message)
        1    0.000    0.000    0.013    0.013 C:\Seafile\Py\si\lib\site-packages\pymongo\network.py:119(receive_message)
        2    0.000    0.000    0.013    0.006 C:\Seafile\Py\si\lib\site-packages\pymongo\network.py:145(_receive_data_on_socket)
        2    0.013    0.006    0.013    0.006 {method 'recv' of '_socket.socket' objects}
    48/10    0.001    0.000    0.012    0.001 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:678(_from_son)
       48    0.002    0.000    0.010    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:41(__init__)
    20/10    0.000    0.000    0.009    0.001 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:286(to_python)
    20/10    0.000    0.000    0.008    0.001 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:307(<listcomp>)
    38/10    0.000    0.000    0.008    0.001 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:545(to_python)
       38    0.000    0.000    0.007    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\document.py:71(__init__)
  886/848    0.001    0.000    0.004    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:148(__setattr__)
  823/435    0.001    0.000    0.004    0.000 {built-in method setattr}
  501/291    0.000    0.000    0.003    0.000 {built-in method getattr}
      388    0.001    0.000    0.003    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:118(__set__)
      234    0.000    0.000    0.002    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:108(__get__)
      234    0.000    0.000    0.001    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:391(get)
      539    0.000    0.000    0.001    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\common.py:5(_import_class)
       20    0.000    0.000    0.001    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:238(__get__)
      234    0.000    0.000    0.001    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:377(__getitem__)
      7/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:2264(_handle_fromlist)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
        1    0.000    0.000    0.001    0.001 {built-in method __import__}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:2234(_find_and_load)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
      388    0.000    0.000    0.001    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:384(__setitem__)
      194    0.001    0.000    0.001    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:449(__getattr__)
1261/1260    0.000    0.000    0.001    0.000 {built-in method isinstance}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1186(_load_unlocked)
       48    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:430(create)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(_exec)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:126(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1465(exec_module)
      388    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:458(__setattr__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1934(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2016(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:68(_path_stat)
        3    0.000    0.000    0.000    0.000 {built-in method stat}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1534(get_code)
       12    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:1469(_cursor)
       49    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:89(__init__)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:663(clone)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:671(clone_into)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\helpers.py:89(_unpack_response)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:1512(_query)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:88(to_query)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:154(accept)
        1    0.000    0.000    0.000    0.000 {built-in method decode_all}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:77(visit_query)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\transform.py:29(query)
       99    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:184(update)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:89(__call__)
        4    0.000    0.000    0.000    0.000 {built-in method __build_class__}
     1109    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 C:\Python34\lib\copy.py:67(copy)
       48    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:1006(__set_field_display)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1621(get_data)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\manager.py:27(__get__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:89(prepare_query_value)
      167    0.000    0.000    0.000    0.000 {built-in method hasattr}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\message.py:253(get_message)
       49    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:95(__new__)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\re.py:217(compile)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\re.py:273(_compile)
      242    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:688(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\server.py:150(get_socket)
